date,gross_return,net_return,turnover,transaction_cost,naive_reversal_net_return,SPY_return
2021-03-01,0.0014560570257289305,0.0010060570257289304,0.9000000000000001,0.0004500000000000001,0.00743995221985564,0.024240307725111432
2021-03-02,,,,,0.006922546941864288,-0.007803633752350492
2021-03-03,,,,,0.006094364836687155,-0.01324556835779478
2021-03-04,0.004984168436062475,0.0044841684360624745,1.0,0.0005,0.00017730130169364434,-0.012374736327150582
2021-03-05,-0.0028596191574700395,-0.0032596191574700397,0.8,0.0004,-0.005022302981449856,0.018396465113445837
2021-03-08,0.010783705351135285,0.010333705351135284,0.9,0.00045000000000000004,-0.02422728670296856,-0.004978734589285105
2021-03-09,0.012054843912168389,0.011604843912168388,0.9000000000000001,0.0004500000000000001,0.007876837080778439,0.014277447831163581
2021-03-10,-0.0009576662243161666,-0.0014576662243161666,1.0,0.0005,-0.003995003950894849,0.006224938209952624
2021-03-11,-0.01720263942386262,-0.01770263942386262,1.0,0.0005,-0.024435471096845386,0.01013877474224123
2021-03-12,,,,,-0.008696764279253161,0.0013468205314159931
2021-03-15,,,,,-0.0010026552829926923,0.005963694239379924
2021-03-16,,,,,0.005702417326430504,-0.0012612854741708146
2021-03-17,,,,,-0.009272149518447606,0.0034099867576626863
2021-03-18,,,,,0.000364332980866045,-0.014549663337172336
2021-03-19,0.005592092125541216,0.005192092125541216,0.8,0.0004,-0.00519585536616567,-0.0018504379235770863
2021-03-22,0.005159818341166399,0.0046598183411663986,1.0,0.0005,0.007204693502275634,0.007985023414547321
2021-03-23,,,,,-0.005324688729779886,-0.007870915324115324
2021-03-24,,,,,0.01116803343673153,-0.005083489848749401
2021-03-25,,,,,0.0014651177844419833,0.005625570354283793
2021-03-26,,,,,0.00110366388711436,0.016114973229749197
2021-03-29,,,,,0.0013628378079713016,-0.0005049150622127296
2021-03-30,,,,,0.0025744723886632964,-0.002653071956981501
2021-03-31,,,,,0.005734555543712112,0.004053187689533999
