date,net_exposure
2023-01-04,-6.938893903907228e-18
2023-01-11,3.469446951953614e-18
2023-01-12,-3.469446951953614e-17
2023-01-18,-6.938893903907228e-18
2023-01-19,-6.938893903907228e-18
2023-01-20,1.3877787807814457e-17
2023-01-23,3.469446951953614e-18
2023-01-24,3.8163916471489756e-17
2023-01-25,-1.734723475976807e-17
2023-01-26,-5.204170427930421e-17
2023-01-27,2.0816681711721685e-17
2023-01-30,-3.8163916471489756e-17
2023-02-07,1.3877787807814457e-17
2023-02-08,-2.0816681711721685e-17
2023-02-16,6.938893903907228e-18
2023-02-17,6.938893903907228e-18
2023-03-02,6.938893903907228e-18
2023-03-14,-2.7755575615628914e-17
2023-03-15,6.938893903907228e-18
2023-03-16,-1.3877787807814457e-17
2023-03-17,-2.0816681711721685e-17
2023-03-20,0.0
2023-03-21,0.0
2023-03-22,-2.7755575615628914e-17
2023-03-23,4.163336342344337e-17
2023-03-24,2.0816681711721685e-17
2023-04-11,-5.551115123125783e-17
2023-04-12,0.0
2023-04-13,3.469446951953614e-17
2023-04-21,6.938893903907228e-18
2023-04-24,2.0816681711721685e-17
2023-04-25,1.3877787807814457e-17
2023-04-26,0.0
2023-05-12,1.3877787807814457e-17
2023-05-15,-2.0816681711721685e-17
2023-05-18,1.3877787807814457e-17
2023-05-19,2.7755575615628914e-17
2023-05-22,-3.469446951953614e-17
2023-05-23,-3.469446951953614e-18
2023-05-24,1.3877787807814457e-17
2023-05-25,6.245004513516506e-17
2023-06-02,0.0
2023-06-16,-2.0816681711721685e-17
2023-06-29,-1.0408340855860843e-17
2023-06-30,-5.898059818321144e-17
2023-07-17,-3.122502256758253e-17
2023-07-18,-6.938893903907228e-18
2023-08-10,4.85722573273506e-17
2023-08-11,1.3877787807814457e-17
2023-08-14,3.469446951953614e-17
2023-08-15,0.0
2023-08-16,1.3877787807814457e-17
2023-08-23,6.938893903907228e-18
2023-08-24,-1.3877787807814457e-17
2023-08-25,3.469446951953614e-17
2023-08-31,6.245004513516506e-17
2023-09-01,3.122502256758253e-17
2023-09-27,-1.0408340855860843e-17
2023-10-04,0.0
2023-10-11,0.0
2023-10-12,-2.7755575615628914e-17
2023-10-13,-1.3877787807814457e-17
2023-10-16,2.0816681711721685e-17
2023-10-27,-2.0816681711721685e-17
2023-10-30,3.469446951953614e-18
2023-10-31,3.469446951953614e-18
2023-11-01,3.469446951953614e-18
2023-11-03,-3.469446951953614e-18
2023-11-06,2.42861286636753e-17
2023-11-07,-2.42861286636753e-17
2023-11-16,2.7755575615628914e-17
2023-11-21,1.3877787807814457e-17
2023-11-22,-5.551115123125783e-17
2023-11-24,-2.7755575615628914e-17
2023-11-27,-1.3877787807814457e-17
2023-12-05,6.938893903907228e-18
2023-12-06,2.42861286636753e-17
2023-12-07,-6.938893903907228e-18
2023-12-18,-6.938893903907228e-18
2023-12-19,-4.85722573273506e-17
2023-12-20,3.469446951953614e-18
2023-12-28,3.8163916471489756e-17
2023-12-29,-1.3877787807814457e-17
2024-01-02,2.7755575615628914e-17
2024-01-09,-1.3877787807814457e-17
2024-01-17,-2.7755575615628914e-17
2024-01-18,-5.551115123125783e-17
2024-01-19,4.163336342344337e-17
2024-01-22,2.7755575615628914e-17
2024-01-25,1.3877787807814457e-17
2024-01-26,1.734723475976807e-17
2024-02-06,-5.551115123125783e-17
2024-02-07,-1.0408340855860843e-17
2024-02-09,3.469446951953614e-17
2024-02-15,6.938893903907228e-18
2024-03-05,-3.469446951953614e-17
2024-03-06,1.0408340855860843e-17
2024-03-07,1.3877787807814457e-17
2024-03-08,-1.3877787807814457e-17
2024-03-20,4.163336342344337e-17
2024-03-21,-6.938893903907228e-18
2024-03-26,-4.163336342344337e-17
2024-03-28,0.0
2024-04-04,6.938893903907228e-18
2024-04-09,1.3877787807814457e-17
2024-04-10,1.3877787807814457e-17
2024-04-19,-6.938893903907228e-18
2024-04-26,1.3877787807814457e-17
2024-05-09,-2.0816681711721685e-17
2024-05-10,4.163336342344337e-17
2024-05-16,-6.591949208711867e-17
2024-05-22,-1.3877787807814457e-17
2024-05-31,2.0816681711721685e-17
2024-06-03,-3.469446951953614e-18
2024-06-04,-1.3877787807814457e-17
2024-06-17,-3.469446951953614e-18
2024-06-18,-6.938893903907228e-18
2024-06-20,1.3877787807814457e-17
2024-06-28,-3.469446951953614e-17
2024-07-01,-4.163336342344337e-17
2024-07-09,-4.85722573273506e-17
2024-07-22,4.5102810375396984e-17
2024-07-26,1.3877787807814457e-17
2024-07-29,-3.469446951953614e-17
2024-07-30,4.163336342344337e-17
2024-07-31,3.8163916471489756e-17
2024-08-08,-6.938893903907228e-18
